redondez,esfericidad,finalCell3,finalCell4,finalCell5,finalCell6,finalCell7,finalCell8,finalCell9,finalCell10,finalCell11,finalCell12,finalCell13,finalCell14,finalCell15,finalCell16,finalCell17,finalCell18,finalCell19,finalCell20,finalCell21,finalCell22,finalCell23,finalCell24,finalCell25,finalCell26,finalCell27,finalCell28,finalCell29,finalCell30,finalCell31,finalCell32,finalCell33,finalCell34,finalCell35,finalCell36,finalCell37,finalCell38,finalCell39,finalCell40,finalCell41,finalCell42
0.924054205,0.763260961,0.577185705,0.861669777,0.403339794,0.965601075,0.994203744,0.971728733,0.789196533,0.680296686,0.967813285,0.989665629,0.967106562,0.668687527,0.820277057,0.840609826,0.7115066,0.611044359,0.8426497,0.991632849,0.95779348,0.926589262,0.998955815,0.948819953,0.906413484,0.830787479,0.871180774,0.858074808,0.982135019,0.818752047,0.999919624,0.991611176,0.912582596,0.982630563,0.999512738,0.963665842,0.98637373,0.983484214,0.958086533,0.682425632,0.973310379,0.938491087
0.575470328,0.788389206,0.483632549,0.906448762,0.997956099,0.972711716,0.914017487,0.990600362,0.99702306,0.935942609,0.946384877,0.968798456,0.975556457,0.947417677,0.963399823,0.902860495,0.947601695,0.999921347,0.865433499,0.996880881,0.964391532,0.997892332,0.951211989,0.987634036,0.999126849,0.997262876,0.970645705,0.999911569,0.993869171,0.997906501,0.95366341,0.997028987,0.96043454,0.998928387,0.997220269,0.94798069,0.991773746,0.715892024,0.999535609,0.932564558,0.973712919,0.996354771
0.493822485,0.621013343,0.695565235,0.491576072,0.951739535,0.940670558,0.778231245,0.925350828,0.983732787,0.672531752,0.915517658,0.958693216,0.980593278,0.99488038,0.812789356,0.999634535,0.989904853,0.981862825,0.984655091,0.906123168,0.869550985,0.999618342,0.96041728,0.965151222,0.991718331,0.718025373,0.978830141,0.999998401,0.999486013,0.997229378,0.631943478,0.874884319,0.997317016,0.986627577,0.824038061,0.998578877,0.861180518,0.817362024,0.862620972,0.971642081,0.987252921,0.994623332
0.23154141,0.605829835,0.538689215,0.705091896,0.592357126,0.934819922,0.383616649,0.982511215,0.885683247,0.942211603,0.918048415,0.96698415,0.999729092,0.887998655,0.992520691,0.894776266,0.995502848,0.874278859,0.853721525,0.993363386,0.983488455,0.909339511,0.786414191,0.956856123,0.898127231,0.903736453,0.997467247,0.961717353,0.995317902,0.989169039,0.924937511,0.95157648,0.985958943,0.995646403,0.971049552,0.97032883,0.963658256,0.984208137,0.727265201,0.974119866,0.923430254,0.888872478
0.30850482,0.667813122,0.594676352,0.764562628,0.747608832,0.953261501,0.775144913,0.369970228,0.996035901,0.903066162,0.990773668,0.942263193,0.790848385,0.99943701,0.821728774,0.955287448,0.999999655,0.999673547,0.689602233,0.993021614,0.999652282,0.892035953,0.924057142,0.771407756,0.65418105,0.887989669,0.999757146,0.949199134,0.99663008,0.815826061,0.98054528,0.954422705,0.915572276,0.991469615,0.9875705,0.97147085,0.819520042,0.966612946,0.910597045,0.712899072,0.928417872,0.99723697
1,0.91260016,0.339760322,0.825614101,0.832398028,0.962437317,0.513773716,0.996175615,0.899330721,0.780748522,0.981142937,0.853377721,0.951633212,0.999948632,0.825890998,0.999802243,0.999894051,0.99479356,0.960946436,0.876464678,0.929849348,0.829818647,0.648349845,0.914209419,0.957184554,0.708438979,0.97240254,0.656933738,0.940488053,0.851778056,0.877744929,0.877668889,0.951148027,0.998716741,0.980645452,0.995058616,0.746279625,0.894370862,0.991344585,0.977247841,0.995933462,0.998137988
0.215772301,0.492249966,0.805975841,0.978521742,0.688563441,0.998966967,0.994078274,0.882304889,0.980854724,0.934751526,0.996834811,0.957890916,0.893840401,0.910381283,0.880228412,0.977925588,0.990476546,0.816719204,0.992586527,0.862317229,0.990402325,0.961634433,0.949240884,0.728100981,0.804095259,0.999925325,0.973085423,0.997153232,0.97844374,0.929599425,0.972726935,0.988870252,0.832742928,0.943059204,0.97930614,0.728894523,0.91259564,0.638494573,0.854568281,0.994763866,0.960291161,0.993152189
0.589788079,0.744666874,0.223686445,0.656167887,0.4165086,0.6672067,0.999647241,0.937756997,0.996713103,0.955768795,0.982653386,0.987888252,0.867972466,0.948439184,0.9886885,0.994555688,0.978551984,0.994751808,0.927432824,0.769352017,0.897997756,0.973605047,0.932878823,0.962914503,0.797889379,0.973591661,0.859201623,0.858820463,0.763703461,0.899951717,0.759676547,0.847029029,0.971854861,0.759122814,0.65466911,0.990513435,0.915017468,0.942735681,0.828091815,0.961177339,0.998865418,0.884758654
0.311879188,0.707056284,0.601792525,0.885321528,0.985935064,0.539104724,0.985683591,0.77826903,0.996916923,0.931150854,0.990120869,0.83767793,0.741507518,0.967594917,0.835356749,0.990366798,0.584929559,0.990424143,0.904563613,0.999525235,0.922321891,0.973667208,0.9456372,0.587244912,0.957852224,0.943845503,0.983973583,0.984904186,0.976982245,0.987087112,0.881926274,0.799555692,0.985477842,0.961779788,0.809266246,0.798895891,0.926303142,0.995702265,0.922387833,0.999239131,0.999884979,0.798958328
0.471079916,0.686172366,0.557972197,0.732472929,0.857589047,0.929644261,0.997851277,0.999999511,0.894265731,0.998182266,0.985828104,0.972261408,0.924061396,0.853174162,0.898059691,0.903708731,0.970977249,0.913329235,0.992222551,0.994282899,0.997085877,0.940520695,0.991917792,0.976623429,0.988965289,0.994010846,0.803820099,0.87526596,0.738578054,0.997562496,0.858598941,0.976021666,0.979321771,0.983273949,0.990307398,0.921703588,0.977678273,0.918943306,0.964004682,0.96510514,0.750490555,0.998071392
