roundness,finalCell2,finalCell3,finalCell4,finalCell5,finalCell6,finalCell7,finalCell8,finalCell9,finalCell10,finalCell11,finalCell12,finalCell13,finalCell14,finalCell15,finalCell16,finalCell17,finalCell18,finalCell19,finalCell20,finalCell21,finalCell22,finalCell23,finalCell24,finalCell25,finalCell26,finalCell27,finalCell28,finalCell29,finalCell30,finalCell31,finalCell32,finalCell33,finalCell34,finalCell35,finalCell36,finalCell37,finalCell38,finalCell39,finalCell40,finalCell41,finalCell42,finalCell43,finalCell44,finalCell45,finalCell46,finalCell47,finalCell48,finalCell49,finalCell50,finalCell51,finalCell52,finalCell53,finalCell54,finalCell55,finalCell56,finalCell57,finalCell58,finalCell59,finalCell60,finalCell61,finalCell62,finalCell63,finalCell64,finalCell65,finalCell66,finalCell67,finalCell68,finalCell69,finalCell70,finalCell71,finalCell72,finalCell73,finalCell74,finalCell75,finalCell76,finalCell77,finalCell78,finalCell79,finalCell80,finalCell81,finalCell82,finalCell83,finalCell84,finalCell85,finalCell86,finalCell87,finalCell88,finalCell89,finalCell90,finalCell91,finalCell92,finalCell93,finalCell94,finalCell95,finalCell96,finalCell97,finalCell98,finalCell99,finalCell100,finalCell101,finalCell102,finalCell103,finalCell104,finalCell105,finalCell106,finalCell107,finalCell108,finalCell109,finalCell110,finalCell111,finalCell112,finalCell113,finalCell114,finalCell115,finalCell116,finalCell117,finalCell118,finalCell119,finalCell120,finalCell121,finalCell122,finalCell123,finalCell124,finalCell125,finalCell126,finalCell127,finalCell128,finalCell129,finalCell130,finalCell131,finalCell132,finalCell133,finalCell134,finalCell135,finalCell136,finalCell137,finalCell138,finalCell139,finalCell140,finalCell141,finalCell142,finalCell143,finalCell144,finalCell145,finalCell146,finalCell147,finalCell148,finalCell149,finalCell150,finalCell151,finalCell152,finalCell153,finalCell154,finalCell155,finalCell156,finalCell157,finalCell158,finalCell159,finalCell160,finalCell161
0.924054205,1,0.007265966,0.030633509,0.007546388,0.004038996,0.000970125,0.000216394,-0.000184547,0.000117854,6.87564E-05,0.000768605,-0.000359264,0.000354732,-0.000380114,0.000720901,-0.000456985,0.000641922,-5.55727E-06,-0.000215728,-0.000188328,-0.000238329,-5.10143E-05,-7.07629E-05,0.000537341,0.000233452,0.000179315,-7.55749E-05,0.000154816,-0.000381243,7.76697E-05,-9.18969E-06,8.43784E-05,6.54635E-05,-1.05333E-05,-7.68306E-05,7.38805E-05,-2.50642E-05,2.39665E-05,-8.63486E-05,-0.000176336,1.05477E-16,-0.004261056,-0.001068708,0.007029451,0.004929335,-0.003603184,-0.002347589,-0.000955965,7.70276E-05,-8.58206E-05,-0.000311167,0.000383319,0.000268724,-0.000435573,-0.000161672,0.000675725,0.000390778,-9.18125E-05,0.000680337,-0.000695247,-0.000123541,0.000336182,-0.000377228,-0.000258057,-0.00017044,0.000452335,1.01716E-06,-0.000221212,0.000272108,0.000251298,0.000301668,4.73134E-06,6.40442E-05,0.000180669,-0.000385113,5.37528E-06,0.000124794,0.000186399,6.10741E-05,-0.000297396,-6.02723E-17,-0.006666683,0.001360206,-0.001775049,0.001703151,0.000623835,0.003760588,-0.001287366,-5.99859E-05,-0.000345357,-0.000329679,-0.000557409,-9.30925E-05,-0.000751528,-0.000274636,-0.000513938,-0.0002246,5.13642E-05,0.000183971,-0.000233491,0.000509891,-0.0005934,0.000190473,-0.000502895,-0.000247184,-0.000409735,-0.00015628,-0.000270636,-3.17343E-06,-4.8125E-05,0.000355346,0.000194919,0.00041535,0.000392207,9.8782E-05,0.000133789,-3.38342E-05,0.000255469,0.000139658,-4.11616E-05,0.816612921,-0.015006465,0.028044731,0.002011653,0.003556423,0.00150378,0.00063726,7.80861E-05,0.000489994,0.000128749,0.000441596,-0.00039133,0.000267664,0.000156138,-0.000520765,-0.000536561,0.000337337,0.000140968,0.000711496,0.000317885,0.000193617,-0.000573395,6.44227E-05,-0.000320963,-7.39132E-05,0.000537057,0.000318459,-2.23087E-05,9.56315E-06,-3.64945E-05,-0.000284891,0.000164245,0.00028223,-0.000292049,0.000122162,8.06319E-05,-7.63593E-05,-2.3356E-05,0.000416332,0.000275055
0.575470328,1,0.026213363,0.024825703,0.007201118,0.01046133,-0.007578604,0.010688265,-0.005940004,0.004293817,-0.000979511,0.001711393,0.000382546,0.000297746,0.000172275,0.000422103,-0.000667295,-0.00059913,0.000150617,-0.000658625,0.00083187,0.000252383,0.000257992,0.001164581,7.92035E-05,-0.000356774,-9.64216E-05,-0.000819661,-0.000190328,-0.000242841,-5.46558E-05,-0.000195833,0.000432765,-0.000210727,0.000515461,-7.7059E-05,1.07472E-05,1.05091E-05,-1.97576E-05,0.000370096,0.000141711,9.8788E-17,0.023773208,0.024772202,-0.0081352,-0.017450825,-0.001128526,-0.004331157,0.006872659,0.001982392,0.00117695,-0.0026252,-0.001213772,-0.000178224,0.000711344,0.000275056,-0.001158712,-0.000786125,-1.69079E-06,0.001732599,0.000493568,0.000262403,-0.000771295,-0.000342152,0.000379226,5.97349E-05,-0.000793594,0.000463532,0.000117857,-0.000177489,9.07744E-05,0.000185451,0.000384679,-9.33669E-05,-0.000930062,-5.35478E-05,0.000614052,0.000159882,8.78831E-05,0.000164565,0.000153317,-1.97576E-16,-0.00026357,0.023611972,-0.000933281,0.014592557,-0.004318248,-1.23505E-05,-0.001270174,-0.000100489,0.003549577,-1.35307E-05,0.002238983,-0.000863571,0.001094704,-0.000207394,0.000536435,-0.000881896,-0.000134628,-0.000467354,7.38815E-05,0.000978794,1.06168E-05,-0.000180652,2.5529E-05,-0.00032265,-2.61423E-05,-0.000145966,-0.000652983,-0.000131364,-0.000112388,-0.000366061,0.000132891,-0.000103284,-0.00045844,-0.000194203,-0.000601704,-8.7539E-08,0.00013379,-0.000290229,0.000306254,0.875271134,-0.028352323,0.018135473,0.027033618,-0.003138879,0.000737172,-0.000955303,-0.003683357,0.001667435,-0.000612957,0.001498865,-0.001119759,-0.00091708,-0.000921719,0.001383873,0.00087799,1.59534E-05,-0.001900394,-0.000150484,-2.93335E-05,-0.00059536,0.000522656,0.000107421,0.00045117,0.001328527,-0.000124792,-3.86536E-05,0.000762144,-0.00047805,-0.000843449,6.77407E-05,7.97824E-05,-2.31428E-05,7.2358E-05,-5.4132E-05,-0.000207775,-0.000112123,0.000139365,-0.000343268,0.000220244
0.493822485,1,-0.086070154,0.023335987,-0.043813365,-0.003649229,-0.0066934,0.004131965,0.003444769,0.003417884,0.001098827,-0.00042998,-0.000167311,-0.001298701,0.000582744,-0.00057114,-0.000239038,-0.00078299,-0.00096634,-0.00069477,-0.000776943,0.000651724,3.32225E-05,0.001326522,0.000501733,0.000854712,-3.52678E-05,0.000390609,-0.000505588,0.000315132,-0.000351418,0.000350227,-0.000272043,0.000193595,-0.000215098,-0.000177887,-0.000113539,-0.000340826,1.80364E-05,-2.37153E-06,0.000188791,1.20041E-16,-0.002795947,0.011422609,0.016060955,-0.00920822,-0.005966105,-0.001481701,0.001353833,0.000891791,0.001029567,0.000548141,-0.000133094,0.00042319,-0.00124264,-4.25254E-05,0.001588142,-2.27782E-05,-0.001151069,0.000703408,-0.00137586,0.00019501,0.000208229,2.08089E-05,-0.000156223,9.90581E-05,-7.47695E-05,0.000280009,-9.99744E-05,0.000144001,-0.000531905,0.000240362,4.62786E-05,0.000481641,-4.78305E-05,-0.00015842,0.000310381,-7.08395E-05,0.000137597,-0.000205629,4.52046E-05,0,-0.002498463,0.01589205,0.010713372,0.006005856,0.005892275,-0.002714773,-0.000986074,-0.00467949,-0.00120591,-0.002569916,-0.000220392,-0.001146825,-7.97288E-05,-0.000986541,0.000285526,-0.00082032,0.00074109,-0.000130833,0.000213829,3.91939E-05,-0.000230624,-2.70341E-05,-0.000310522,0.000111797,-0.000178968,8.39224E-05,-0.000115681,-0.000233535,-0.000363178,-0.000246257,-0.000652772,-0.000282594,-0.000600086,-0.00025971,-0.000353485,-7.87229E-05,4.38101E-05,4.85516E-05,0.000303177,0.718462945,0.098838291,0.054076412,-0.023772606,-0.006294081,-0.019733881,-0.000149349,0.004648293,0.006363265,-0.000226356,0.000152878,-0.001394625,-0.001088256,8.20841E-05,0.000259489,0.001146355,0.000270188,-0.000170682,-0.000927854,0.000477078,-0.000186191,-0.000253151,-0.000170921,-0.000404031,0.000194701,-0.000389067,8.02022E-05,1.7996E-05,0.000297637,5.45684E-05,-0.000116085,-0.000207128,0.000363471,-0.000249822,5.84803E-05,6.03071E-05,0.000167215,-0.000126081,-0.000148097,2.25357E-06
0.23154141,1,-0.025707361,0.055391632,-0.00786567,0.018294993,0.008019679,0.027998308,0.000874231,0.014326053,0.005009448,-0.002181819,0.001537873,0.000398518,0.003548822,-0.002571698,-0.00439992,-0.0012512,-0.004168713,-0.000328075,0.001136988,-0.002916776,0.001619308,0.000779779,0.00262925,2.47311E-06,0.000660229,-7.08055E-05,0.000265872,-0.000959696,0.000262727,-0.000535348,-0.001354281,0.00077425,-0.000890239,-0.000573493,-0.00184017,-0.000292768,0.000185733,-0.00021189,3.28363E-05,1.43285E-17,0.030805051,-0.07989038,0.007467402,0.052834289,-7.97075E-05,0.008534453,0.009256716,0.009830931,0.002772172,-0.002083468,0.002831929,-0.000843801,-0.001362877,0.001056251,0.001256018,0.002498093,0.003540995,0.001745077,0.000142594,-0.003654875,-0.004702004,-0.001325459,0.000258784,0.000485313,-0.00127306,-0.000324419,-0.000648101,-0.000657394,-0.001332511,-0.001758332,0.001231973,0.000455494,-0.000879654,0.000995842,0.001901329,0.000750593,0.000717813,0.001374895,0.001030072,7.88067E-17,0.033199849,0.080883406,0.000924246,0.05623593,-0.000596597,0.004557776,-0.003132388,-0.000964305,-0.000757089,-0.005786221,0.0011686,0.006396426,-0.004027787,0.008172828,0.000742428,0.00458769,-0.002013447,0.000281144,-0.001116854,-0.00269615,-0.002221083,0.001836416,-0.002022837,0.000211186,-0.001073735,-0.000648903,6.16385E-05,-0.000369004,0.001115746,-0.000116014,0.000510098,0.002385212,-8.38205E-06,0.000191921,-0.000349646,0.001051663,-0.000226842,-0.000601189,-0.000478095,-0.842504558,0.01318735,0.035538568,0.020147977,-0.021416642,-0.00149565,0.017573393,-1.70799E-07,-0.010581302,-0.002255122,-0.004823333,-0.003060994,-0.000758083,-0.002161011,-0.009102422,-0.008338145,0.002733662,0.002857684,0.000269662,0.000926203,0.001379169,0.00127287,0.002468043,-0.002806049,-0.001098408,0.000662049,0.001712718,-0.000636351,0.000292213,-0.001088771,0.002408324,-0.00021443,-0.000596783,0.000444305,0.000294679,-0.000312256,0.000126082,0.001017055,0.000207398,0.00015157
0.30850482,1,-0.058839432,0.029842134,-0.041831164,-0.006032374,-0.010725014,-0.000790202,-3.33423E-05,0.001333541,-0.002613786,0.003792392,-0.000534387,0.000691856,0.000306144,0.000544027,2.41529E-05,0.000537065,0.000971466,5.14636E-05,0.000205129,0.000342501,-0.000238651,-0.000847838,0.000402379,0.00040164,0.000608354,-0.000304743,0.000877921,-0.000945249,0.00023304,-0.001317411,-3.93503E-05,-0.000395561,-0.00023695,-0.000839802,0.000204377,-0.000813669,4.09549E-05,0.000267337,0.000152934,-5.73624E-17,0.034896368,0.002388278,-0.033676119,0.001890052,0.00703748,0.009280082,-0.006257041,0.000386483,0.005554557,-0.001346823,-0.004720592,-0.001340536,0.001258174,0.002185303,-8.10735E-05,-0.001506481,0.000827985,0.001313922,-0.001606329,-0.000556011,0.001077936,-0.000436711,0.001299597,4.89331E-05,-8.93668E-05,-0.00076241,-4.8124E-05,-0.001174978,0.000304242,0.000288497,0.001284174,-0.000577331,-0.00041525,6.16222E-05,0.000288249,-0.000216508,-0.000352115,0.000696675,-0.000499991,7.1703E-17,0.016876844,-0.009613104,0.000254518,0.000868464,-0.006263079,0.000720987,-0.002687484,0.006133779,0.001254129,0.003105697,-0.000267064,0.002099891,-0.001770006,-0.000134834,-0.001880278,0.001106591,-0.000425024,3.16374E-05,-0.001771657,0.001329321,-0.001111746,0.000692669,0.000700476,0.001777152,0.000251421,0.001268591,-0.000420779,-0.000591288,-0.000420025,-0.000724033,-0.000203308,-0.000838876,-0.000144875,-0.000395497,6.62431E-06,-0.00052873,0.000442791,0.000271749,-6.81349E-05,0.803965196,0.08702589,0.042835037,-0.02212292,-0.006163274,-0.011267279,0.007408014,2.39041E-06,-0.006844396,0.005988138,0.002958686,-0.006154395,0.001514955,0.002485842,-0.000549842,-0.002101275,0.000780442,-0.000143091,-8.14812E-05,0.001103824,0.001048439,-0.000773709,-0.000755555,5.10176E-05,3.42677E-05,-0.001842627,0.001747121,0.000842211,-0.000202189,-0.000143846,-0.000531275,0.000453718,-0.000614928,-1.71272E-05,0.001132976,-0.000172693,-0.001277008,-6.52482E-05,-6.75807E-05,0.000458703
1,1,0.006006826,0.0084699,0.005553637,-0.005104721,0.005235941,-0.002019311,0.00301726,-0.000528604,-0.000781645,-0.000427963,-0.000268627,0.000188872,-0.001040716,-1.07111E-05,-0.000233671,0.000127389,0.00037062,-0.000137496,-0.000557763,-0.00022845,0.000184517,1.66584E-05,-9.99123E-05,0.000301869,9.41912E-05,-0.000185267,-0.000310658,-0.000117216,-0.000117736,0.000190386,-0.000136674,-0.000300456,-0.00024031,3.85369E-05,7.69485E-05,0.000336095,9.04849E-06,0.000321864,1.72572E-05,1.68767E-16,-0.010874763,0.001378604,0.005256809,0.004287427,0.001097149,-0.003178554,-0.001252779,-0.000759503,0.000969188,0.000811336,-0.001652378,-0.001071167,9.38713E-05,0.000919141,-0.000621688,-0.000156624,0.001065354,2.29572E-05,0.000168639,-1.21206E-05,0.000125128,0.000278312,0.000375676,3.48406E-06,-0.000369948,-0.000236453,8.20528E-05,6.88313E-05,0.000297044,-0.000398393,-0.000615091,1.99306E-05,0.000285128,-0.000450733,-0.000331079,0.000404994,7.10766E-05,0.000134906,1.70943E-05,-1.68767E-16,-0.005243699,0.000824335,-0.003875039,0.005320894,0.002025593,0.001721027,0.000744995,0.001563393,0.000312617,0.001793221,-0.000126056,0.000651679,-0.001465144,-1.23282E-05,-0.000775128,0.00028311,-0.000477575,0.000146956,0.000493749,-2.16174E-05,4.84559E-06,-0.000120612,0.000361704,0.000244407,0.000290207,-8.10828E-05,-2.99554E-05,-0.000119594,0.000583224,7.0332E-05,9.71003E-05,1.84466E-05,8.80476E-05,-0.000315959,-0.000155822,-0.000202795,-0.000276739,0.000324969,6.91229E-05,0.940512054,-0.007822113,0.005216368,-0.000317125,0.005456974,0.000982329,-0.00505805,0.00190159,0.000836377,0.000967802,-0.000544065,-0.000913187,-4.87388E-05,0.000194738,-0.000105423,-0.001094977,-8.8354E-05,0.000312651,0.000332083,0.000450742,-0.000183896,-0.000414269,0.000216566,0.00023921,-0.000117966,4.33012E-05,0.00054611,0.000197136,-0.000255121,-7.29702E-06,0.000221305,0.000261496,-6.06501E-05,-0.000177407,-0.000119337,-7.06768E-06,-0.000441305,0.000147542,7.16438E-05,-0.000327017
0.215772301,1,-0.014750021,0.044356715,-0.013215075,0.005037741,-0.006645971,0.005027243,-0.00678378,0.008540197,-0.006745842,0.00123078,-0.008350463,-0.005871806,-0.001919027,-0.002152617,0.000125403,-0.000144464,0.001063281,0.000859075,0.00082028,-4.36829E-05,-0.002042036,-0.000458727,-0.003497818,-0.001186064,-0.001970084,-0.001668161,-0.000728962,-0.00213578,0.000358736,-0.001027084,-0.000372408,-0.001004166,-0.000923589,-0.000283877,-0.0004139,0.000524008,-3.70955E-05,0.001177346,-2.32793E-05,6.15899E-17,0.009750317,-0.007890539,-0.0014147,0.019541002,-0.013742015,-0.002564889,-0.011178769,0.004383486,-0.00225072,0.001921479,-0.00012562,0.003240614,0.00151793,0.002674807,0.00127143,-0.002719912,-0.001002795,-0.000571221,0.00532451,0.001725344,-0.000672522,0.00140268,-0.001581722,-0.000707452,-0.000577002,0.001095614,-3.1696E-05,-0.000518411,0.001865709,0.002101825,-0.001326775,0.003811559,0.000593156,-0.000498306,0.001699988,0.000399388,-0.002282185,-0.000761305,-0.000164085,1.55496E-17,-0.06342479,-0.003014908,-0.046518184,0.000236815,-0.030403368,-0.003334859,-0.009036554,0.002678074,0.003543651,0.00398654,0.004292785,-0.001206011,-0.001807506,-0.002531843,-0.002147546,-0.000596984,-0.002192318,0.000647076,-0.001601199,0.003210908,-0.000990428,0.001602399,-0.001237188,-0.001184516,-0.001339564,-0.0003734,0.000637384,-0.00036113,0.000244576,0.001015167,0.000821171,0.000465838,0.000842812,-0.001116123,-0.001369488,-0.000706074,-0.000240667,-0.000563156,-0.00031084,-0.59194843,-0.023765916,-0.032920296,-0.013651262,-0.009820062,0.00747898,0.003861893,-0.002782028,0.00234421,-0.001374359,-0.003109925,0.004749238,-0.002985203,0.004893925,0.001800263,0.000435016,0.003082124,-0.000816662,-0.005580083,-0.000493262,0.002540442,0.001402884,0.001324665,-0.000617618,-0.00316257,-0.000636417,0.000813256,0.000612594,-0.000641284,-0.002224239,0.001186346,0.00058288,0.002802255,0.000618221,-1.58045E-05,-0.000176517,0.000231746,-0.000259716,0.001163899,0.000674268
0.589788079,1,0.074833734,0.008445978,0.052198751,-0.005242509,0.006085228,-0.005307102,-0.002526037,-0.001647682,-0.000513504,0.000275581,0.001549514,-0.00092735,0.000538304,-0.000722735,-6.50959E-05,-0.000544784,-0.000809971,-0.000597962,0.000127417,0.000430221,6.47806E-05,0.000423863,0.00055531,-0.000323503,0.000351185,-0.000197728,-0.000386355,0.000239412,-0.000347202,0.000126164,-9.04801E-05,-2.69366E-05,-0.000207436,-0.000148875,0.000113411,6.2662E-05,8.82023E-05,1.30296E-05,0.00013539,-1.11312E-16,-0.038502672,-0.019953985,0.013210472,0.007706064,0.002181229,0.001820778,-0.001538887,-0.001218871,0.001443436,0.001847353,0.001098671,-0.001118159,0.000824466,0.000257779,-0.000340981,0.000281211,-6.76287E-05,-0.000508674,-0.000203935,0.000205904,0.000267627,-4.00503E-05,0.000107322,7.68474E-05,-0.000570203,-0.000218624,0.000385303,-1.47693E-05,-0.000125021,0.000416923,0.0002465,-0.00042703,-0.000525752,-4.13804E-05,0.000247501,5.22752E-05,-1.77825E-05,0.000315181,0.000317455,0,-0.021447608,-0.019095063,-0.010611708,-0.009881201,0.00449451,-0.00248868,-0.001053597,-0.001936374,-0.001425763,0.001440079,-0.001255096,0.002403567,0.000437648,-0.000259052,0.001489224,-0.000162452,0.000450974,-1.3094E-05,-0.000545722,5.33695E-05,-0.000111041,-4.73706E-05,0.00022434,-1.76474E-05,0.000284535,-0.000298015,5.25891E-05,-9.87622E-05,0.00012123,-0.000111635,0.000338852,0.000322562,9.83095E-05,-8.88769E-05,8.13578E-05,9.88233E-05,0.000177434,-1.4104E-05,0.000151867,0.974661159,-0.093011025,-0.006647982,0.038706215,0.016905493,0.008154979,0.001457376,0.000434959,-0.004623138,-0.005169268,-0.001457318,7.4596E-05,0.001358579,0.001142709,0.000295635,0.001345877,0.001214605,-0.000901513,-0.000963568,-0.000787245,-0.001183953,-8.70763E-05,0.000274493,-0.000105668,0.000610819,0.000672818,9.71608E-05,0.000346022,-0.000194804,-0.000171591,-1.09806E-05,5.62646E-06,-2.90089E-05,3.44197E-05,5.68907E-05,-0.00033739,-0.000106337,0.000220048,2.4644E-05,-5.43199E-05
0.311879188,1,-0.026658204,0.038345805,-0.019040668,0.006123507,-0.005221365,0.00494632,-0.00146641,-0.001623723,0.00297272,-0.003272275,0.002373055,0.002976452,0.001103896,0.002748553,-0.001296258,-0.000296124,-0.002034412,-0.001793691,-0.000902349,-0.00045567,-0.000598104,0.000297088,-0.000276808,-0.000353074,5.43108E-05,-0.001157314,0.00053261,-0.000733935,-0.000331674,-0.000570636,-2.07474E-05,-0.0002869,0.00012294,1.06786E-05,0.000112313,0.000491221,-0.000147047,0.000683231,-0.000407883,1.76579E-16,-0.042327428,0.019759835,0.016524178,-0.001564998,-0.008356399,-0.010740862,0.003420227,0.003750732,0.00337043,-0.004273459,0.000208196,0.001074394,-0.001050156,-0.00241679,0.004435157,-0.001797812,-0.000564659,-0.000431846,-0.001150049,3.30271E-05,0.00041571,0.000103381,0.00044562,-0.000493417,-0.001008131,0.000454553,-0.000305729,0.000565949,0.000464746,0.000215295,-0.000972486,0.000823289,0.000395853,-0.000452918,-0.000263884,0.000152787,8.2376E-05,-6.22958E-05,-0.000331087,-2.94299E-16,-0.029173915,0.013575251,-0.015652955,0.01264301,-0.009417406,0.002413568,-0.00795217,-0.000427443,-0.005184811,0.002467897,-0.003840603,0.001573076,-0.004087981,0.002086948,-0.001131412,-0.000799238,0.000938112,-0.000574425,-0.000296932,-0.000633709,-0.000367413,-0.000410157,-6.51704E-05,-0.001138389,-0.000176904,-0.000639596,-0.000831681,3.07706E-05,-0.000827463,0.000160063,-0.000266766,0.000937627,-0.000551628,0.000604563,-9.1613E-05,0.000740336,-0.000344992,0.000582451,-0.000108643,0.798652463,0.0679092,0.016874164,-0.01511761,0.002253853,0.00104662,-0.002819264,-0.005829554,0.008415873,0.000897932,-0.004025896,0.002182664,-0.005511302,0.001329051,0.002138794,0.001322976,0.000849403,0.000179129,0.00063784,-0.00135144,-0.001021477,-0.000467455,0.001013602,-0.000648869,-0.000600108,-0.000353128,0.000676603,0.001246228,-0.000936197,-0.000333994,5.54981E-05,-1.20933E-05,-0.000157503,-5.48665E-05,-0.000493148,0.000753306,-0.000490399,0.000248686,-3.51043E-05,0.000544728
0.471079916,1,0.059109799,0.02889897,0.023525143,0.004053084,0.008345838,0.008992155,-0.001575434,0.003124781,0.000515,0.000395593,-0.002041638,0.000562828,-0.000238858,-0.001184921,7.35004E-06,-0.000114885,-0.000916775,0.000595766,-0.001556363,0.001909592,-0.001379999,0.000564099,-0.000661814,-0.000570971,-0.000326,-0.000577989,5.35053E-05,-0.000403694,-0.000159113,-0.000477479,0.000419744,-0.000298661,0.000136582,-0.000120262,0.000484473,-5.27635E-05,4.5298E-05,-0.000231966,-3.13604E-05,5.80381E-17,0.005897123,-0.005632396,-0.010686975,0.006374405,0.01469679,-0.002118214,-0.002630893,0.005593807,-0.000824591,-0.003643978,0.001392651,-0.000583676,0.000686997,0.000278108,-0.000656402,0.000121185,0.00014763,0.00033713,-0.000320277,-8.10859E-05,0.000427808,-0.000601601,-0.000750912,0.000135303,-0.000393779,0.000162993,0.000320581,-0.000281837,-0.000427573,0.000356131,0.000639259,0.000298723,-9.82914E-05,-0.000443573,-0.000298561,7.09873E-05,-9.58883E-05,0.000113731,-3.65226E-05,-5.80381E-17,-0.014911793,-0.006675274,-0.01228768,-0.008517396,0.000470161,-0.001218268,0.001983447,-0.000497907,0.001352691,0.001844268,-0.002513991,0.000273583,0.001265973,-0.002197545,0.001552251,-0.000533436,0.000969562,-0.001136355,0.000364369,-0.000884341,0.000909877,-0.000685495,4.54639E-05,-0.000156252,-0.000381125,-0.000344948,-4.66331E-05,-0.000237076,3.7337E-05,-0.00021188,0.000220912,-2.82833E-05,-5.31426E-05,0.000111374,-0.000165716,-0.000160936,-0.000305874,2.91116E-05,-0.000364507,0.829859643,-0.073347255,0.051593414,0.026707341,-0.03282174,0.000794006,0.019245595,0.004641943,-0.003803397,0.003059307,0.002507702,-0.00097034,0.001296433,-0.000287148,-0.000816289,-0.000266438,0.000190579,5.17302E-05,-0.000992489,-0.000492602,0.000334911,0.000155585,0.000395356,-0.000114367,0.000576838,2.95442E-05,-0.00079793,-0.000120609,0.000160754,-0.000265229,-4.67522E-06,6.83631E-05,-5.48595E-05,-0.000361846,3.46152E-05,0.000623399,4.7281E-05,6.06174E-05,0.000308596,-0.000126429
