sphericity,finalCellSpher2,finalCellSpher3,finalCellSpher4,finalCellSpher5,finalCellSpher6,finalCellSpher7,finalCellSpher8,finalCellSpher9,finalCellSpher10,finalCellSpher11,finalCellSpher12,finalCellSpher13,finalCellSpher14,finalCellSpher15,finalCellSpher16,finalCellSpher17,finalCellSpher18,finalCellSpher19,finalCellSpher20,finalCellSpher21,finalCellSpher22,finalCellSpher23,finalCellSpher24,finalCellSpher25,finalCellSpher26,finalCellSpher27,finalCellSpher28,finalCellSpher29,finalCellSpher30,finalCellSpher31,finalCellSpher32,finalCellSpher33,finalCellSpher34,finalCellSpher35,finalCellSpher36,finalCellSpher37,finalCellSpher38,finalCellSpher39,finalCellSpher40,finalCellSpher41
0.779694617,0.505126923,0.857141335,0.876778102,0.984091853,0.92012487,0.959438912,0.996416884,0.7703432,0.999495117,0.951940233,0.99798216,0.799007647,0.979691313,0.891476689,0.915040527,0.979518278,0.99824348,0.948459589,0.944079892,0.983720846,0.962887242,0.986922189,0.711329925,0.957384137,0.939189774,0.9912001,0.908892363,0.87164714,0.997301591,0.918706057,0.987533431,0.977408183,0.999285244,0.997692598,0.999512808,0.808296937,0.83500529,0.986904048,0.998941579,0.999995799
0.701172948,0.605389938,0.881265966,0.982460387,0.774748877,0.935155934,0.999999262,0.999903322,0.98088409,0.920605354,0.992329398,0.952444313,0.999855543,0.972603891,0.899216187,0.813170652,0.948233502,0.966054706,0.924847297,0.984113072,0.946601615,0.843158035,0.960516067,0.983643476,0.952560825,0.891942714,0.998437919,0.928859037,0.995407669,0.999985804,0.982522879,0.99980973,0.990352248,0.832455192,0.864758927,0.799202023,0.850090029,0.9796689,0.957528092,0.852709199,0.969759162
0.745329559,0.499560642,0.675290667,0.97733084,0.994918053,0.8677619,0.998760141,0.929051998,0.999998238,0.982356897,0.994996403,0.997214825,0.732366049,0.745133793,0.990488937,0.901244142,0.997290664,0.870042016,0.966268262,0.953865625,0.916361743,0.994400847,0.808421983,0.999896799,0.968924152,0.982691387,0.966158642,0.988226919,0.914101534,0.979539275,0.940558732,0.988638752,0.998035768,0.998697014,0.994658871,0.985768297,0.868348828,0.861083144,0.97061555,0.9848376,0.973766752
0.540435791,0.760574911,0.9598286,0.89661423,0.998525221,0.94080375,0.988057952,0.989714856,0.999994106,0.868031139,0.998081689,0.918060365,0.98964251,0.478682228,0.953181442,0.986969503,0.98536012,0.788875304,0.963809349,0.816723528,0.875404977,0.756229483,0.679113087,0.998835789,0.999935186,0.965619701,0.983565033,0.999684486,0.820062493,0.848353613,0.983773415,0.866760886,0.901963801,0.947454971,0.771424972,0.999987687,0.99960289,0.998900191,0.905827983,0.998896882,0.974918932
0.756725907,0.499771378,0.899174892,0.966729429,0.967088566,0.342272697,0.995879598,0.9862401,0.835610743,0.993785431,0.666525359,0.99349517,0.995399303,0.983799562,0.940600303,0.947364037,0.999992308,0.844645003,0.981282121,0.81425171,0.813781914,0.983780416,0.910275427,0.796756309,0.988714568,0.952795365,0.999967026,0.992673607,0.963631985,0.958578767,0.994750336,0.99020824,0.994278272,0.999699753,0.990037102,0.992811457,0.997565387,0.79667218,0.999978481,0.965653994,0.98197152
0.595936835,0.734159924,0.924455295,0.691002571,0.999027818,0.996599434,0.984136598,0.98303218,0.944946966,0.978479685,0.98252979,0.999713787,0.956859797,0.997998362,0.87477515,0.982167838,0.551105102,0.999769321,0.902670343,0.994577649,0.999201402,0.928304748,0.99871077,0.900592251,0.838334618,0.867743144,0.99946605,0.994092968,0.771394408,0.906612395,0.791209355,0.792594268,0.96460632,0.989139482,0.86435439,0.914297039,0.998635887,0.999687306,0.819258529,0.935260729,0.939615697
0.706180751,0.605805997,0.972754865,0.69629495,0.820166315,0.971707862,0.770783162,0.937355484,0.989990286,0.846244467,0.976966363,0.901371763,0.999999726,0.999426143,0.957462125,0.962469656,0.967802239,0.997152242,0.897896394,0.957806325,0.998162954,0.979739764,0.973353623,0.864374605,0.868844259,0.760118164,0.966774308,0.884928939,0.999952058,0.929114615,0.986695534,0.924148377,0.999966906,0.999283836,0.871151271,0.951038209,0.949521081,0.421819873,0.865523543,0.921038701,0.859871332
0.633471668,0.515325171,0.95427719,0.999744768,0.97125263,0.97350905,0.982862041,0.998698644,0.875298321,0.9519225,0.910340356,0.999830648,0.933571434,0.908085253,0.969080344,0.963422002,0.351386555,0.984087789,0.898382891,0.972684052,0.934127196,0.691895567,0.979160464,0.696495428,0.885822671,0.998391221,0.844613938,0.937758497,0.834196869,0.944049974,0.999990703,0.735921136,0.899211348,0.936580345,0.788488426,0.990820738,0.997172111,0.896335274,0.999545214,0.993311599,0.977874755
0.647490978,0.535757629,0.525637037,0.993140994,0.812874057,0.998230418,0.981544789,0.92157245,0.929824176,0.966966555,0.646383199,0.827645681,0.760550019,0.398538309,0.983199917,0.999935902,0.339108382,0.979243957,0.976500361,0.829876289,0.871556458,0.997867403,0.999438646,0.943256596,0.999181945,0.998286615,0.999858497,0.89092769,0.95063188,0.930944172,0.946012429,0.925415473,0.925026384,0.952896471,0.988610925,0.999808067,0.999774037,0.946961093,0.972414839,0.988276558,0.954657241
0.69129914,0.55436335,0.48389049,0.984530433,0.995425787,0.977243177,0.872700756,0.990427868,0.99930646,0.998460746,0.990815071,0.996625647,0.567701611,0.963764665,0.97762242,0.941067016,0.998154593,0.862916981,0.909168478,0.871796149,0.867246544,0.948387778,0.966794719,0.998456679,0.99597107,0.999895065,0.879382392,0.960558262,0.812329666,0.97974323,0.931210038,0.990126145,0.892147053,0.93481259,0.887001159,0.930530493,0.999737366,0.983048089,0.972821803,0.781793736,0.996695497
0.79564482,0.399466483,0.666243258,0.984372418,0.95303709,0.673898177,0.583818157,0.882118005,0.801022095,0.986942733,0.345806297,0.856761053,0.835028957,0.880536369,0.867816473,0.98609234,0.946035099,0.884366547,0.53747986,0.999292944,0.827547275,0.967780487,0.970214109,0.996808166,0.991696247,0.857051012,0.965285735,0.998426864,0.929383018,0.863553119,0.870531695,0.998452519,0.819782329,0.963800324,0.609885573,0.997643935,0.693568335,0.92946932,0.999991603,0.83616413,0.998010531
0.699693918,0.601338407,0.983159567,0.999004893,0.989801334,0.989112543,0.970565882,0.999999978,0.982571654,0.5982559,0.783757415,0.935146436,0.984063863,0.974480347,0.888320111,0.861374442,0.719734241,0.999893616,0.966181086,0.998280324,0.943282576,0.971565571,0.987885224,0.90561934,0.523999424,0.993583826,0.681931613,0.972055521,0.987471821,0.981998936,0.919595732,0.972439637,0.994920129,0.977219565,0.995746435,0.967756622,0.923708755,0.805397234,0.990650008,0.95748273,0.748326542
0.54810524,0.742160118,0.981517697,0.993920383,0.992673578,0.990809818,0.861229865,0.996491894,0.961503293,0.999184103,0.99578447,0.970180965,0.987972555,0.999800081,0.989906524,0.891362879,0.989555363,0.989669432,0.983066072,0.982531831,0.992329439,0.974603321,0.966587436,0.902251251,0.999782001,0.999834076,0.847314815,0.978821284,0.967285449,0.995274103,0.931077234,0.858018255,0.976682431,0.966612896,0.990733275,0.979257298,0.931202841,0.925644462,0.999620603,0.987453066,0.995912926
0.737805963,0.561681444,0.973969609,0.964495376,0.763921959,0.671939885,0.976626504,0.998844516,0.961576397,0.934323231,0.924831957,0.935750863,0.520744909,0.996503972,0.934593195,0.88080244,0.876836434,0.568244638,0.976774274,0.996561218,0.949420423,0.875782171,0.918316406,0.99943146,0.971873431,0.945133399,0.86926051,0.939524882,0.865458092,0.855996958,0.998811722,0.902876933,0.925539756,0.938634715,0.846525859,0.985577833,0.998746714,0.857725942,0.980600293,0.962946675,0.988797452
0.739238322,0.516028121,0.896705784,0.978751651,0.994469206,0.998740611,0.993143423,0.989418038,0.995929343,0.989285131,0.997181839,0.813385082,0.499268831,0.942730132,0.950023563,0.780653892,0.916509557,0.987293612,0.982654933,0.746623317,0.84011914,0.84095112,0.881120583,0.759251632,0.987687303,0.999996189,0.931948983,0.950982928,0.792543851,0.999916845,0.959067366,0.965878185,0.999267449,0.997097409,0.99999183,0.923307275,0.728265256,0.886233433,0.988885596,0.901328493,0.947109819
0.557383537,0.661838759,0.74962082,0.996842698,0.992011911,0.857604905,0.997716933,0.911313229,0.978122862,0.952016973,0.970572137,0.777174495,0.970361949,0.745202482,0.967012124,0.975172982,0.496262692,0.887957296,0.897149941,0.666202466,0.998804646,0.986802119,0.994139791,0.849424533,0.995925692,0.657990811,0.88042598,0.720382766,0.834003612,0.95696191,0.955939737,0.984139234,0.950281397,0.855768694,0.973236907,0.983911915,0.99822697,0.900070302,0.813349085,0.992747488,0.945268707
0.669544697,0.42873507,0.961274581,0.948058444,0.94057997,0.975050448,0.996834013,0.947885722,0.998860775,0.901839855,0.999905608,0.993640734,0.991710534,0.999281973,0.999430128,0.714103143,0.906638418,0.982046255,0.90583631,0.904082957,0.962905141,0.999909554,0.946037088,0.900928108,0.959106417,0.956503715,0.506493887,0.939729061,0.758349537,0.976831716,0.975890742,0.734460819,0.92960886,0.873459051,0.995492986,0.636154927,0.999439847,0.981641784,0.997541821,0.996257745,0.96929339
0.662221491,0.642006094,0.999642581,0.889162727,0.952430334,0.996029719,0.833450071,0.930737371,0.954142045,0.969550677,0.872737008,0.778821372,0.834656059,0.99678149,0.955559913,0.981308557,0.813056202,0.964654432,0.995583329,0.995029008,0.666722738,0.989236511,0.972761064,0.964813505,0.983989725,0.999800768,0.99321282,0.998855271,0.951004049,0.941569049,0.90515269,0.996506453,0.989074272,0.787154463,0.9824935,0.889658699,0.436025965,0.783559171,0.991291913,0.987450023,0.999851881
0.681562006,0.600863456,0.738557237,0.937053592,0.70059269,0.984454511,0.996779613,0.731547466,0.982055963,0.960017966,0.98747428,0.999543003,0.942578956,0.949741816,0.999936416,0.970804441,0.785048279,0.862937295,0.947303011,0.886006565,0.999995643,0.961981061,0.980650829,0.922263085,0.777108114,0.87159448,0.986601117,0.987674841,0.999596651,0.852826327,0.90877477,0.634036166,0.861458443,0.998201318,0.988852564,0.919979005,0.762102531,0.966284158,0.99150224,0.989477777,0.970812831
0.554852545,0.7329944,0.966565528,0.992344105,0.805469048,0.999982451,0.7132482,0.978052312,0.945246424,0.848284381,0.993111056,0.999972683,0.844858096,0.848398248,0.916732151,0.999999948,0.893425484,0.972621802,0.977905457,0.796137686,0.970049681,0.994270165,0.994211392,0.992751951,0.905840773,0.985039441,0.962793396,0.951642117,0.846527879,0.99995469,0.960784299,0.9125088,0.950085612,0.937726365,0.965146932,0.71980408,0.982597311,0.919159562,0.991666154,0.80236015,0.574919675
0.555013359,0.740312438,0.96241337,0.894386249,0.853024948,0.962882698,0.887078157,0.559065513,0.992084236,0.678370839,0.968164448,0.864589646,0.999919645,0.965005498,0.884054126,0.988820758,0.970415343,0.981776225,0.910488308,0.875963671,0.816171308,0.579917371,0.990401594,0.899570861,0.932672713,0.84908795,0.850606644,0.643043451,0.991348652,0.979213768,0.994761211,0.972545595,0.951888492,0.999610873,0.996601089,0.988757711,0.99606051,0.965045561,0.93573006,0.96669314,0.901286176
0.688541532,0.540420044,0.776810078,0.974308933,0.931509421,0.760798849,0.957262687,0.88509603,0.947647777,0.886841681,0.741013549,0.723220375,0.906771278,0.748353913,0.699156973,0.994371853,0.999250637,0.937198168,0.97657149,0.913808258,0.976719765,0.970589437,0.771205723,0.989949446,0.999336318,0.969524543,0.988705796,0.969207004,0.880139239,0.985038089,0.980573677,0.812865226,0.983696841,0.963591425,0.695275842,0.987657664,0.935468319,0.840480484,0.991776731,0.999802831,0.999999033
0.652206004,0.774284151,0.999766736,0.994782392,0.943484063,0.858040308,0.892770203,0.936169512,0.999992358,0.973496821,0.753824074,0.987570955,0.969837463,0.98508668,0.925475913,0.988447952,0.979053951,0.933156645,0.922014887,0.950429917,0.971461069,0.987357071,0.972962893,0.940450777,0.967377812,0.916177466,0.986275563,0.951343641,0.831559084,0.957912395,0.999705332,0.954502976,0.991274779,0.885195805,0.970410888,0.352270974,0.917792877,0.999237451,0.43236207,0.999998916,0.934678998
0.608347535,0.709029234,0.955364039,0.90822336,0.996030323,0.974180298,0.999945381,0.984267117,0.975227308,0.972006031,0.82972747,0.888321297,0.962488909,0.940417597,0.925418557,0.984183996,0.999539127,0.999105009,0.917538583,0.961989856,0.996488321,0.883094108,0.766696599,0.819568416,0.959976698,0.950192164,0.976843654,0.993180699,0.993038207,0.845785767,0.989939794,0.999111841,0.868168251,0.998628888,0.993386006,0.975065148,0.930108896,0.858271497,0.952404374,0.926238664,0.945641737
0.811664045,0.190191854,0.99295978,0.999295272,0.999721426,0.996220484,0.996190795,0.952813694,0.987540456,0.865754236,0.981851763,0.860823935,0.997836581,0.99172376,0.48293542,0.98320463,0.961330729,0.953645848,0.981777294,0.999956555,0.994190886,0.986758338,0.985840244,0.968007902,0.973085231,0.931774734,0.998946521,0.991789381,0.986663481,0.965885651,0.94461836,0.999957928,0.944983451,0.997914199,0.970266308,0.911724121,0.990583132,0.927866135,0.7503702,0.968444658,0.973426424
0.55749917,0.68586944,0.888639428,0.982708068,0.98886272,0.999963651,0.687440283,0.752581366,0.912007226,0.992738367,0.998969504,0.969050328,0.831988823,0.96933323,0.952081318,0.814972297,0.996274029,0.976084401,0.963273697,0.976226842,0.998522259,0.971017242,0.800957498,0.993374306,0.960093982,0.584726235,0.984857645,0.999707069,0.981643062,0.938607405,0.953589074,0.669078249,0.992444265,0.897743001,0.95883639,0.99930897,0.968531474,0.772175483,0.994652414,0.775176991,0.996143414
0.648298264,0.530688809,0.787057721,0.986714139,0.834580146,0.902016967,0.99849562,0.874510281,0.956848954,0.922380671,0.919753409,0.999995266,0.937236166,0.999638475,0.77469963,0.989616307,0.956122881,0.779004295,0.915273803,0.876990955,0.912091078,0.981639704,0.993164361,0.999541579,0.920262225,0.992879347,0.915987416,0.803026164,0.930411103,0.975654136,0.892630695,0.826461276,0.825609596,0.964513343,0.822386379,0.974190277,0.994346175,0.633763449,0.99911292,0.538078353,0.787994498
0.653915763,0.608710786,0.928706883,0.997556562,0.941905468,0.844993427,0.819124523,0.984364377,0.955306788,0.987983437,0.965877023,0.993255403,0.520541595,0.966581908,0.690036941,0.988108276,0.995866115,0.73639543,0.930491098,0.99187849,0.904352555,0.960862451,0.999315995,0.944537436,0.933344962,0.984316922,0.972465223,0.935240554,0.999996849,0.98567165,0.950572448,0.989253117,0.928980267,0.991720515,0.876177223,0.998237047,0.98181687,0.989934408,0.820975982,0.879361407,0.856279827
0.728396058,0.521801839,0.882531914,0.99743417,0.676785943,0.999543491,0.870514363,0.971389008,0.914934451,0.901535433,0.978577963,0.908714255,0.930039454,0.972752371,0.982491115,0.997261521,0.9956537,0.961796639,0.907403223,0.975931796,0.758230233,0.280727112,0.99092077,0.999972678,0.988703661,0.852342641,0.803177628,0.986087864,0.984148211,0.928554794,0.998078331,0.984369844,0.934483849,0.990603312,0.917147051,0.995437916,0.942978018,0.823438462,0.941103085,0.981168489,0.976680419
0.649321496,0.606490399,0.832739038,0.979045986,0.981133634,0.99868296,0.937660443,0.994611102,0.922331651,0.97108768,0.906340069,0.999864189,0.964004419,0.999366082,0.985560013,0.986232503,0.873413445,0.350606468,0.737453705,0.999908491,0.99453688,0.900029511,0.94672545,0.975518157,0.967672524,0.999050852,0.943252801,0.958815136,0.619697291,0.854374781,0.999930634,0.926251578,0.997298954,0.985653492,0.861736556,0.98219412,0.685710593,0.739603401,0.999256006,0.873218963,0.867762046
0.724418461,0.586430498,0.932306871,0.928707806,0.940797138,0.924016103,0.956699288,0.593158971,0.982128262,0.995011478,0.991834268,0.99848909,0.889239375,0.995875395,0.987534504,0.984938305,0.507102653,0.995643389,0.95162141,0.974151761,0.963433849,0.794551892,0.984442324,0.966744694,0.998253706,0.972782448,0.975521872,0.970535153,0.953673551,0.991786138,0.985159548,0.971286669,0.688184805,0.893215491,0.999807242,0.998021634,0.886019977,0.988234492,0.996094726,0.967868807,0.992767364
0.473976582,0.821056714,0.89697468,0.931479815,0.838226861,0.987459663,0.998448988,0.995825415,0.949151707,0.69396027,0.999163403,0.984339631,0.889091757,0.9953039,0.597314607,0.99336919,0.995072407,0.998371974,0.999992799,0.955868177,0.927417115,0.976687756,0.945127691,0.918552764,0.969868983,0.830746772,0.89959326,0.369538559,0.904314486,0.992285783,0.935948493,0.834481802,0.738496565,0.900803376,0.794753255,0.984943472,0.787982549,0.999999978,0.319697106,0.905744273,0.952527129
0.793285012,0.501868484,0.94341055,0.970426167,0.879790427,0.875399437,0.980346347,0.979707539,0.998925956,0.995228866,0.909268871,0.99980154,0.936433134,0.97539241,0.996930851,0.800286737,0.620608587,0.996836507,0.923215538,0.915984371,0.814424552,0.747868582,0.905320115,0.932856822,0.935196094,0.828890025,0.70346612,0.964622465,0.910324397,0.979072637,0.994821507,0.963304197,0.970087361,0.970059555,0.97487274,0.875476015,0.888861546,0.992355302,0.999799879,0.287082079,0.648892672
0.65959549,0.550505816,0.77210794,0.839817293,0.991750212,0.983157994,0.971830433,0.987682712,0.824488101,0.995513776,0.997469399,0.998400856,0.9882459,0.830515876,0.81800278,0.855370251,0.99167272,0.975015856,0.680345579,0.998449837,0.888751965,0.841039816,0.987838223,0.448919924,0.978719005,0.999640046,0.898183462,0.818036785,0.848727888,0.993022154,0.986704859,0.999312239,0.941703468,0.81872294,0.564590332,0.914482907,0.987887884,0.941497194,0.990802938,0.998016181,0.982293336
0.709022641,0.545855351,0.736485608,0.854817214,0.986137455,0.99581725,0.873656759,0.918539185,0.990293709,0.984588978,0.900659067,0.944670217,0.979010605,0.93287312,0.99950889,0.822910846,0.989728494,0.956932409,0.97302105,0.793570816,0.999906309,0.950906263,0.766634982,0.952288834,0.975447432,0.999981392,0.993140504,0.910781956,0.983383369,0.999084898,0.96078698,0.964039377,0.996079859,0.997719471,0.96842826,0.78357641,0.953066521,0.88295358,0.737482259,0.985256885,0.995257101
0.645097613,0.627850363,0.915247895,0.997766637,0.899103774,0.999864775,0.931566633,0.998254915,0.943983554,0.929195148,0.966254143,0.999768988,0.991266122,0.951675755,0.951905122,0.699803627,0.970109938,0.993608751,0.989161457,0.967455782,0.998900815,0.991257773,0.999767553,0.986270801,0.95111227,0.998902967,0.850224299,0.999936639,0.938938296,0.811388622,0.98382898,0.356825578,0.989609769,0.965624855,0.829641833,0.999528217,0.990206204,0.961906595,0.986413619,0.611591837,0.997754167
0.625499368,0.550313232,0.789288749,0.720519082,0.786849004,0.5633075,0.896940282,0.930734132,0.811708921,0.958076681,0.998716852,0.840987579,0.803059175,0.921746553,0.994718397,0.991277588,0.858745071,0.974549815,0.930943918,0.994065519,0.953332237,0.984098863,0.833882232,0.884289321,0.964968403,0.999973149,0.966917792,0.928502027,0.99406394,0.957944809,0.867666542,0.943921235,0.835076128,0.840263205,0.989676811,0.91487492,0.933811872,0.969171816,0.956886467,0.927822851,0.953704565
0.743706465,0.279143202,0.78437068,0.931886714,0.953292565,0.992722455,0.994473285,0.965763973,0.763574582,0.926657319,0.883998889,0.780033712,0.99505562,0.88946221,0.99951518,0.593872657,0.982861246,0.976571154,0.984517269,0.935460011,0.915739924,0.993763315,0.996543087,0.776283019,0.994440524,0.934247163,0.953807119,0.999889089,0.892819334,0.971364532,0.984136038,0.758226181,0.91689077,0.987243792,0.938875231,0.683334228,0.823987484,0.923760649,0.998619613,0.795825568,0.999970654
0.820829988,0.361096453,0.701411415,0.99976839,0.999594943,0.999214711,0.999044969,0.969211336,0.998025143,0.946312857,0.999821417,0.997903123,0.985867145,0.785761577,0.994365447,0.974962455,0.291685644,0.963353056,0.965687808,0.80577159,0.991605767,0.984966063,0.994536127,0.992006052,0.631339179,0.949008997,0.996834085,0.976513715,0.999059834,0.946622359,0.999847303,0.999872217,0.962215344,0.970497486,0.996628277,0.807985427,0.814646096,0.99994224,0.897391219,0.963417429,0.999887766
0.701856256,0.569364014,0.721253239,0.879694424,0.981886443,0.828013828,0.997572426,0.999538917,0.991105689,0.904636804,0.823592415,0.984562431,0.893948546,0.891391718,0.99586101,0.851180555,0.999771438,0.998643077,0.971725572,0.814074714,0.998727956,0.990404985,0.935328272,0.986744172,0.729372972,0.91853521,0.997384947,0.911827732,0.908110184,0.945176277,0.979642819,0.92850965,0.982720249,0.81014359,0.595827001,0.950039941,0.965251753,0.840213256,0.999148397,0.963573714,0.984849304
0.704658568,0.509846135,0.927775147,0.77415642,0.999942142,0.890702289,0.869890393,0.989821266,0.999795539,0.75820791,0.99999913,0.991860605,0.992336356,0.952714754,0.976867058,0.958810081,0.977098373,0.381476164,0.986670792,0.926004484,0.944188157,0.993764714,0.687105557,0.918364117,0.881883461,0.855840415,0.988444336,0.990950336,0.997700221,0.919809245,0.971183441,0.986630168,0.98680383,0.991064247,0.45562118,0.94547956,0.923530148,0.995073753,0.991881581,0.905951713,0.998781801
0.754839838,0.494850445,0.738337294,0.994427964,0.931130456,0.995131456,0.94561374,0.923075115,0.942998996,0.806837651,0.853444735,0.654908511,0.78893903,0.983406407,0.996746744,0.969986464,0.964898202,0.866572988,0.915415067,0.960379055,0.969438114,0.940596232,0.944433455,0.982150683,0.889872332,0.919122281,0.999384342,0.962246331,0.985578683,0.782044229,0.925997546,0.999481962,0.988825884,0.904853098,0.984602769,0.999854155,0.889332148,0.912951386,0.784722945,0.999354169,0.931806418
