roundness,finalCellRound2,finalCellRound3,finalCellRound4,finalCellRound5,finalCellRound6,finalCellRound7,finalCellRound8,finalCellRound9,finalCellRound10,finalCellRound11,finalCellRound12,finalCellRound13,finalCellRound14,finalCellRound15,finalCellRound16,finalCellRound17,finalCellRound18,finalCellRound19,finalCellRound20,finalCellRound21,finalCellRound22,finalCellRound23,finalCellRound24,finalCellRound25,finalCellRound26,finalCellRound27,finalCellRound28,finalCellRound29,finalCellRound30,finalCellRound31,finalCellRound32,finalCellRound33,finalCellRound34,finalCellRound35,finalCellRound36,finalCellRound37,finalCellRound38,finalCellRound39,finalCellRound40,finalCellRound41,finalCellRound42,finalCellRound43,finalCellRound44,finalCellRound45,finalCellRound46,finalCellRound47,finalCellRound48,finalCellRound49,finalCellRound50,finalCellRound51,finalCellRound52,finalCellRound53,finalCellRound54,finalCellRound55,finalCellRound56,finalCellRound57,finalCellRound58,finalCellRound59,finalCellRound60,finalCellRound61,finalCellRound62,finalCellRound63,finalCellRound64,finalCellRound65,finalCellRound66,finalCellRound67,finalCellRound68,finalCellRound69,finalCellRound70,finalCellRound71,finalCellRound72,finalCellRound73,finalCellRound74,finalCellRound75,finalCellRound76,finalCellRound77,finalCellRound78,finalCellRound79,finalCellRound80,finalCellRound81,finalCellRound82,finalCellRound83,finalCellRound84,finalCellRound85,finalCellRound86,finalCellRound87,finalCellRound88,finalCellRound89,finalCellRound90,finalCellRound91,finalCellRound92,finalCellRound93,finalCellRound94,finalCellRound95,finalCellRound96,finalCellRound97,finalCellRound98,finalCellRound99,finalCellRound100,finalCellRound101,finalCellRound102,finalCellRound103,finalCellRound104,finalCellRound105,finalCellRound106,finalCellRound107,finalCellRound108,finalCellRound109,finalCellRound110,finalCellRound111,finalCellRound112,finalCellRound113,finalCellRound114,finalCellRound115,finalCellRound116,finalCellRound117,finalCellRound118,finalCellRound119,finalCellRound120,finalCellRound121,finalCellRound122,finalCellRound123,finalCellRound124,finalCellRound125,finalCellRound126,finalCellRound127,finalCellRound128,finalCellRound129,finalCellRound130,finalCellRound131,finalCellRound132,finalCellRound133,finalCellRound134,finalCellRound135,finalCellRound136,finalCellRound137,finalCellRound138,finalCellRound139,finalCellRound140,finalCellRound141,finalCellRound142,finalCellRound143,finalCellRound144,finalCellRound145,finalCellRound146,finalCellRound147,finalCellRound148,finalCellRound149,finalCellRound150,finalCellRound151,finalCellRound152,finalCellRound153,finalCellRound154,finalCellRound155,finalCellRound156,finalCellRound157,finalCellRound158,finalCellRound159,finalCellRound160,finalCellRound161
0.147143855,1,0.023712628,0.043264715,0.012136309,-0.002780599,-0.022672626,-0.012270698,-0.006875098,-0.003244894,-0.005380147,-0.005374747,0.000906636,-0.002033752,0.002672693,0.003462212,-0.001481473,-0.000165056,0.002447768,-0.000209436,0.000624801,-0.001727789,-0.001407593,9.24694E-05,0.000855526,-0.0002529,-0.002282581,0.000596967,-0.001348094,-0.000503609,-4.10982E-06,-4.895E-05,0.000340379,0.000353961,-8.22804E-05,-0.000857317,-0.000687371,0.000381819,-0.000232292,8.24309E-05,1.7746E-05,1.13229E-16,0.007998742,-0.016590121,0.00863105,0.006146823,0.016289821,0.00083134,-0.015212084,-0.003215635,0.001974811,0.006756924,0.000570922,-0.003030849,-0.005473206,-0.003986716,0.00243718,0.003708214,0.003530097,0.001019051,-0.001850559,-0.001127857,-0.001463203,-0.000573477,0.000200504,0.000175286,-0.000512737,-0.000101232,-0.000660353,0.000551771,0.000560816,-0.000149103,0.001053408,2.60356E-05,-0.000794779,-0.000311471,0.000850771,0.000677806,-0.000829931,5.12311E-05,0.000162121,-4.93092E-17,0.04100954,0.010153932,0.01699961,-0.016152554,0.022440363,0.001796683,0.014230864,-0.003369472,-0.001857455,-0.001691055,0.001671824,0.000295536,-0.003351385,-0.005166216,-0.005593876,-0.003380439,-0.002159872,-0.002011026,-0.002343931,-0.001237766,-0.000939086,-0.000728115,-0.000347291,-0.001476718,0.000248914,0.000692939,4.44307E-05,0.001398916,-0.000498413,0.000803082,0.001011655,7.17415E-06,0.000336975,-0.001046774,0.000225205,-0.000157436,0.000329349,-0.000683444,-0.000664312,0.899763283,-0.082290734,0.01308115,0.060022783,0.023193793,-0.012396459,-0.002607885,-0.001352264,-0.001677829,0.001404551,0.001923395,-0.002629829,-0.005604063,0.000106621,-0.002399848,0.003327561,0.005629976,-0.001908672,-0.0005254,0.002651401,0.000842044,-0.001325063,0.000655485,0.000442041,-0.001220556,0.001157989,0.000413529,-0.000112324,8.49665E-05,-0.000984807,-0.001526144,-0.000475744,0.001202713,0.000148833,-0.000138024,-6.35481E-05,-0.000898976,-0.000469929,0.000607911,-0.000271235
0.136824285,1,-0.061711147,0.031645764,-0.03033604,0.017601608,0.004582887,0.013525323,-0.004101264,-0.001524834,-0.011584354,-0.001247968,0.002840203,0.005780464,0.008357681,0.003803153,0.0003451,8.21196E-05,-0.002927992,-0.005263905,0.000492567,-0.002764682,-0.002120959,-0.000157864,-0.001007666,-0.002772948,0.001900945,-0.000336011,0.00106451,-0.00038687,0.00045436,-0.000335592,0.000296911,0.000940717,-0.00094601,0.001010873,0.000944158,-0.000910029,-0.000668734,0.000144413,-0.000511379,4.71451E-17,0.04099614,-0.004157564,-0.002333853,0.010109259,0.005230719,-0.000587387,-0.009920737,0.001240922,-0.008520081,-0.002808354,-0.002170314,0.002694493,0.005396492,-0.004479494,0.00141756,0.000510568,-0.003085582,0.003088842,-0.001189873,-0.003656253,-0.000537622,-0.000200938,0.003245898,0.000955949,-0.000334637,0.00098781,0.001906336,-3.75514E-05,-0.001610114,1.63193E-05,0.000586061,0.000252684,0.001091563,-0.001115867,-0.000645005,0.001489564,0.000561835,-0.000352083,-0.000471315,-9.42901E-17,-0.005097271,-0.002407572,0.002557015,0.004805951,0.022827456,0.014695164,0.019778848,0.015466124,0.007069309,0.00746653,-0.002093066,0.002084472,-0.003863685,0.00038297,0.00074543,-0.003958981,0.000320176,-0.001581121,-0.002354506,-0.000740562,-0.00219581,-0.001165822,-0.000192625,-0.000242769,0.000314522,0.001394098,0.002168126,3.61171E-05,0.000685861,0.000571296,-0.000730713,0.000409441,8.98562E-05,-0.001035224,0.001064973,-8.36774E-05,4.37668E-05,0.000253592,0.000297978,0.800446606,0.034588126,0.045967318,-0.03258417,-0.015737222,0.000665828,0.008786814,0.012659294,0.005671688,-0.004025944,-0.000730311,-0.009427032,-0.003696304,0.002904709,0.00432765,-0.001382277,0.002391512,0.00036035,0.002957143,-0.004646485,-0.004011361,0.005770369,-0.001341541,-0.005952043,0.003379244,0.000731635,-0.002210803,0.001576708,0.000895093,0.000772023,-0.000116758,0.000594719,-0.002480681,-0.000585053,0.001813366,0.000222038,-0.00138505,0.000515669,0.00078337,0.000605008
0.093001409,1,0.040099018,-0.015974601,0.04917792,-0.012867603,0.037054446,0.009778461,0.006900427,0.012543619,-0.005812744,0.00780817,-0.004344466,8.6494E-05,-0.001011766,-0.002455556,0.000319043,-0.000924811,0.000133011,0.000758609,-0.000356841,0.000674793,0.000464554,0.00128105,0.000131548,0.001449512,-0.00085951,-6.30547E-05,-0.000863942,-0.000583905,-0.000250958,-0.0001172,0.000132886,-0.000389416,-0.000358246,0.000102267,-0.000399848,0.000304594,-6.85859E-05,5.38148E-08,-0.00013051,4.64476E-17,-0.014957022,0.009918097,0.009444337,0.008014504,0.008033507,0.004659925,0.005172443,0.000467679,0.012340453,0.009390448,-0.003621355,0.003935399,0.002026007,-0.004773959,-0.004450621,-0.002165769,7.93817E-05,-0.001319123,0.00070254,0.00050567,-0.004663617,-0.00311296,0.000974138,0.00015182,0.001465175,0.000605778,-0.000154446,-0.000525081,-0.000618042,0.001026993,0.000679241,0.000604276,-0.000453112,-0.000694454,0.000461228,0.000249111,3.21441E-05,8.39777E-05,-0.000792452,9.28952E-17,-0.015163519,0.006524984,-0.017342306,-0.000684368,-0.010824431,0.000364711,-0.004800632,-0.003498719,0.003474677,0.001840767,0.007993676,0.008837695,0.005768952,0.003640227,0.001345862,-0.003346848,0.00164304,-0.001715016,0.004274038,-0.000557611,0.002352487,0.000566283,-0.000952095,0.000981147,-0.00024624,0.001167984,0.000167506,0.000999877,-0.000233405,-0.000170276,-9.02462E-05,5.41918E-05,-0.00017509,0.000365533,0.000313656,-0.000190731,0.000757647,0.000121481,0.0003418,0.826833562,-0.055285701,0.043029902,-0.016594833,-0.024299666,-0.00894137,0.003422127,0.023309549,0.00219404,-0.001023638,0.007359326,0.000659036,0.00683523,0.002215461,-0.001127586,0.001464592,-0.000895513,0.000248737,0.000192259,-0.000281389,0.001827076,-0.00275987,-0.001661998,0.001325096,0.000194822,-0.000272364,8.80178E-05,-0.000910877,-0.001549059,0.000634284,0.001226456,-0.000357941,-0.001100322,5.84681E-05,0.000278043,-0.000221285,9.9694E-05,0.000161248,0.000347979,-4.92736E-05
0.082880203,1,-0.014237298,0.016551551,0.010741184,-0.014596468,0.014094416,-0.003106586,-0.00040338,-0.00253606,0.000762649,0.00233633,-4.54106E-05,0.000820473,-0.001079178,0.001005634,-0.000941617,-0.001272767,-0.000676409,-0.00026397,0.000119237,0.001634245,-0.000402467,0.001109763,0.000531477,0.000378711,-0.000135971,0.000127968,-9.62025E-05,-0.00024065,-0.00058736,6.55621E-05,-3.86778E-05,0.000360346,-6.78998E-05,0.000390261,-0.000587915,0.000637285,-0.000553562,0.000240875,0.000362795,1.08559E-16,-0.004350575,0.036166227,-0.018298201,-0.020718996,0.016336211,0.002856292,0.00261516,-0.001467357,-0.00721048,0.004002905,0.001672513,-0.003477147,-0.001861194,0.001193531,0.001547956,-0.00234109,-0.001330923,0.000659864,0.00091928,-0.000458596,-0.0009103,0.000991402,0.000149382,0.000467744,0.00071491,-0.001710739,-0.000178582,0.001977094,-0.000626163,-0.002132273,-3.24959E-05,0.000994946,0.000195992,0.000318272,-0.000444391,-0.000242214,0.000375966,-0.001028345,6.55501E-06,-5.42795E-17,0.032400016,0.01634853,-0.003904667,0.00836311,-0.000389975,-0.000116243,0.00614266,0.003025441,0.006040901,0.001129978,0.000384081,0.003134762,0.002233289,0.001089754,0.000245582,-0.001091484,0.002005164,-0.001466255,0.000393392,-0.001081509,0.001170935,-0.001201976,0.000338864,-0.000318305,0.000993208,-0.000177889,0.000295095,-0.000288201,8.44808E-05,-0.000476635,-0.000272773,-0.000887755,-0.00081502,0.000600723,-0.000251136,0.000317235,-0.000401787,-0.000288972,-0.000439541,0.951666862,0.030573336,0.024379957,-0.04522738,0.007638883,0.019288848,-0.009859158,-0.00036638,-0.001637818,2.89348E-05,-0.000547306,-0.001298809,0.000751434,-0.000186725,0.000209622,-0.000514375,0.00174042,-0.000784682,-0.00254481,0.000654147,-0.001036907,-0.000240526,0.001495743,-0.000899405,-8.12808E-05,0.001645633,0.000304995,-0.001240258,0.000483767,0.00136284,-0.000261764,-0.001221749,-0.00036215,0.000583995,0.000387695,0.000439699,-0.000735897,-0.000244297,0.00118315,-0.000684827
0.074892348,1,0.021876025,0.042055344,0.00338302,-0.005367934,-0.000527935,-0.005812485,0.002899162,-0.004199394,-0.001915768,-0.001703666,0.000212837,0.000228235,0.00017211,-0.000101835,0.000411033,0.00308937,-0.001666375,0.000695289,0.001698115,-0.002629756,0.002826582,-0.002945528,0.000178828,-0.00112492,0.000524546,-0.00229711,0.001879413,-0.000823,0.001726929,0.000878199,0.000745326,-0.000222946,0.000584838,0.000133593,-0.000382237,0.000787965,-0.000172704,0.000341091,-0.000282292,1.37369E-16,-0.038924181,-0.015408286,0.003904679,0.008359459,-0.003579446,0.010521784,0.003523265,-0.004417217,0.003775149,0.002461159,-0.002380701,0.000947488,-0.001811351,-0.00220709,-0.000497983,0.003378553,-0.002575194,-0.004614506,0.000675848,0.00210364,0.002369986,-0.001798561,-0.000316952,0.000880644,8.47337E-05,-0.001095163,-0.002307143,0.000683014,0.002709613,0.001033515,-9.60331E-05,-0.000288687,-0.000329315,-0.000598872,0.001244561,0.000581912,-0.001240626,2.65734E-05,-0.000195397,-1.09895E-16,-0.002656674,-0.016082008,-0.003548292,-0.001497309,-0.003805373,0.000322887,0.001345748,0.00703698,0.005158111,0.003502967,0.003386792,0.002687717,0.001041077,0.003185374,-0.002042699,0.002022582,-0.002813515,0.001359069,-0.005383825,0.001058908,-0.001126941,0.00041748,-0.000643689,-0.000979929,-3.0829E-05,5.48717E-05,-0.000798746,-0.000438291,0.000110814,-6.37513E-05,7.6155E-05,0.000548883,0.000465332,0.000256783,0.000413112,0.000134993,-0.000363029,0.000243185,-4.94878E-05,0.705179088,-0.039656592,0.081981608,0.04116328,-0.001843733,-0.018488543,-0.005858645,0.00541236,0.002480481,0.004759496,-0.000312675,-0.003438814,0.000192943,-0.000908161,-0.005394627,0.003985515,0.001824074,-0.000682375,0.003078199,-0.004902443,0.001178255,0.003922608,-0.002268652,0.000253485,9.2259E-06,-0.002442706,0.000356965,0.000384549,-0.001596331,-0.000695216,1.32764E-05,0.001504803,0.001091306,-0.000426529,-0.000304176,0.00032271,-0.001365297,0.000210471,0.000783658,-0.000757629
0.05,1,-0.052286061,0.023599531,-0.045085207,0.001692853,-0.00960731,0.003820791,0.0031148,0.009479991,0.00024812,0.008102162,-0.002744733,0.002724161,-0.003402732,-0.000176677,-0.00256788,0.00077016,-0.000970439,3.7163E-05,0.000445126,0.00150839,1.17432E-05,0.001743906,0.000192638,0.000280378,-0.000718976,0.000184564,-0.001538623,-1.67041E-05,-0.000941429,0.000459166,-0.000742971,0.001388835,-0.00058908,0.001546266,-0.000398244,0.00083598,0.000717421,2.37543E-05,0.000287715,-9.98757E-17,0.001241128,0.000700851,-0.005410821,-0.005435844,-0.000516818,0.008931897,0.00845583,-0.006458451,0.000480763,-0.005392445,-0.003257736,0.006873166,0.000521027,-0.000999349,0.001303738,-0.001825906,0.001240117,-0.002728152,0.00042928,-0.001074367,0.000132062,0.000846452,0.001559665,-0.001732566,0.000532622,-9.81554E-05,-0.00090338,-0.000406549,0.001484687,-0.000461919,0.000588427,-0.001335147,0.000288282,-0.000357317,0.00096275,-8.13656E-05,-0.000124298,-0.000465781,-0.000744142,7.49068E-17,-0.005140061,0.002236245,-0.005865111,0.001248076,-0.003604282,0.007575979,-0.00224442,0.008099738,0.000480954,-0.000323696,-0.002157507,0.000404075,-0.003780857,0.002395851,-0.000651647,0.002148375,-0.000125715,0.00093685,-0.000410795,-0.000769006,-0.000944225,-7.47929E-05,-0.000217038,-0.000670094,0.000111833,-0.000416316,-0.001155045,0.000533105,-0.00077776,0.000613938,-0.000233987,-0.000566666,0.000581856,-0.00075104,0.000170804,-0.000924626,0.00048553,-0.001499431,0.000666917,0.776654871,0.104575397,0.030915745,-0.013877149,0.001749333,-0.016928753,-0.001019578,0.004518236,-0.005645436,0.005359791,-0.000522382,-0.000886375,0.00376691,-0.000883377,0.000342027,-0.000625873,-0.000786065,-0.000465259,0.000937109,0.002346837,-0.002037892,0.000457375,0.000496434,-0.000353892,-0.000570297,-0.000288316,0.000122281,0.000570171,-9.93675E-05,0.000320997,-0.000999411,0.000122531,0.000954509,-0.000182217,0.000138004,-0.001649234,0.000870243,0.000173526,-0.000206463,0.000343012
0.140218136,1,0.01539779,-0.000847625,0.039670157,-0.001987335,0.033094154,0.004222175,0.012906231,0.003925519,-0.002238645,0.007278049,-0.008668459,-0.008662432,-0.002021417,-0.006321392,0.004244274,0.005328803,0.006952494,0.001684336,0.005918675,-0.000841109,-0.00048549,-0.000289107,2.76545E-05,0.001577232,0.002496125,-0.001013077,0.001964506,0.001328761,0.001496224,0.001683995,0.0010527,-0.000266463,-0.001137452,-0.001040413,-0.001928247,0.002146487,-0.000112216,-0.000747279,-0.000374722,-1.8863E-16,-0.025739902,0.009348355,0.051470256,0.008786898,-0.027300068,-0.000931898,0.005046487,0.002166128,-0.004980624,-0.005147294,0.003666289,-0.000734202,-0.009093916,-0.003448724,0.000794999,0.000854515,-0.002423532,0.001393539,0.004012091,0.002555456,-0.000560908,0.000888912,0.000964437,0.001027596,0.000248102,-0.000838333,0.001420743,0.000994341,-0.002115549,-0.000482281,-0.000505831,-0.00155855,-0.002194363,-0.001038856,6.17428E-06,-8.04727E-05,0.002140596,0.000789542,-0.001003829,-1.61682E-16,-0.001966371,0.000712478,-0.005700768,-0.008349619,-0.029566456,0.000797507,7.15475E-05,0.004634441,0.001070315,0.001467641,-0.006524368,-0.002904448,-0.001896932,-0.002039417,-0.000123708,3.1232E-05,0.000127169,0.001047914,-0.001291582,2.45857E-05,0.001600384,-0.00208587,0.000183435,-0.001455452,0.001391448,-0.001937914,-0.001828121,0.000211732,-0.000679874,0.000318001,-0.002857974,9.99973E-05,0.000119252,0.000613959,0.000713797,0.000156417,-0.001317279,-0.000267914,-0.001095128,-0.925776564,0.047097503,-0.024113583,0.023377983,0.023279938,-0.017815488,-0.024533526,-0.011704222,0.015066683,-0.011454145,-0.012801297,0.002834853,-0.001555054,-0.000483794,0.006791258,0.005890194,0.004655124,0.001757291,-0.002129621,0.001844786,0.00080091,-0.003859022,-0.000567179,0.002398792,-0.001339686,-0.000618643,-0.001148083,-0.00213223,0.00056123,0.000940569,0.000516209,0.000237319,-0.001425416,-0.000186875,9.26417E-05,0.000245833,-0.000102365,-0.000121751,-0.000530998,-7.6056E-06
0.079904283,1,0.015012446,0.050009827,0.013157025,0.014907727,0.010874137,0.010294091,-0.00451097,0.001655007,0.003981202,-0.001609239,0.006254848,0.004079479,0.003850204,0.000531689,0.001666291,-0.001083391,-0.000397985,-0.001279544,0.002575203,-0.002153658,0.001938974,-0.000744256,0.000655127,0.000581205,0.00141537,0.00029209,7.90243E-05,0.001045954,0.000989655,0.000668401,-0.000792333,0.001694686,0.000302264,-0.000484886,-0.000172815,-0.000459759,-0.000153247,0.000769229,0.000143023,5.6949E-17,-0.008101402,-0.010069346,0.040455883,0.010543335,-0.016141548,-0.009666495,0.000742174,-0.011851261,-0.002392757,0.008659403,-0.003499276,-0.00101808,-0.002562546,-0.003661701,-0.001390784,0.001073401,0.000973882,-0.002426995,-0.002363312,0.002919887,0.003750989,-0.000644101,0.000594467,0.000889823,-0.001293321,-0.000665392,0.000707602,-0.002065191,0.000331845,0.000107265,-0.000163372,0.001670858,-0.000106965,2.66825E-07,0.000808452,0.000284739,-0.00031042,0.001168569,0.000156293,-2.84745E-16,-0.023712898,-0.001259039,0.012428633,-0.000771973,0.016043051,0.004519915,0.008061011,-0.011741115,0.006747271,-0.006045805,0.000482118,0.00102729,0.000641107,-0.004439881,-0.004318095,-0.001713942,-0.002141114,-0.003179292,-0.001227205,-0.001553123,-0.001260236,-0.000484252,0.000379627,-0.00062408,0.000535537,0.000501734,9.15217E-05,-0.001413849,-3.80109E-05,-0.001191088,-0.000808247,-0.001129877,0.00037421,0.000660372,-0.000599383,3.48689E-05,-0.000204452,0.00082907,6.16685E-05,0.805920088,-0.01610488,0.019824739,-0.017533334,0.001709795,0.01961625,-0.007718631,-0.001488615,0.017142448,-0.011187831,-0.008417534,0.002583731,-0.000948246,0.002850684,0.001847105,0.002436761,0.004259728,-0.001479232,-0.00472047,-1.16122E-05,0.002710967,5.3573E-06,-0.002012579,0.00013735,0.000770565,0.00235026,-0.000159424,-0.001089629,0.000106253,0.001007381,-0.000258416,0.000566427,0.000224995,-0.001078832,0.00125767,0.001115519,-0.000625785,-0.000655467,-0.000136033,0.001061478
0.104196346,1,-0.027844561,0.034238424,-0.000419107,-0.019525834,0.017577899,-0.006584879,0.012082766,-0.005529329,0.006692178,-0.00030771,0.002925699,0.002709008,0.002194405,-0.001327902,0.001744112,0.002242353,0.002134023,0.000426129,0.002527122,0.00079585,-0.00076142,-0.001071334,-0.001590676,-0.000182744,-0.000904436,0.000212267,-0.000776404,0.000323738,0.000206428,0.000480007,-6.03973E-05,-0.00018731,0.000142197,0.000503355,-0.001861995,0.000611981,-0.000812212,0.000509027,-0.000476624,-5.79561E-17,-0.051529132,-0.01437435,0.022326182,0.018221412,-0.014552483,-0.002085615,0.009220415,0.002118768,-0.003717974,-0.007740866,0.002558829,0.002424803,-0.006531717,0.002731227,0.000697829,-0.002086194,0.003324449,-0.000896748,-0.003405029,0.004564925,0.000407468,-0.005309967,-0.000184395,0.00015191,0.000801833,-0.000446206,-2.65076E-05,0.002365742,-6.35052E-05,-0.001155479,-0.000158392,-0.000224177,0.000561766,0.000512458,0.00150026,-0.000385046,-0.000262587,0.000968854,-0.000443159,0,-0.007366304,0.007001839,-0.014622296,-0.003956983,-0.005877047,0.015202056,0.002125415,0.005843107,0.002455162,0.006894693,0.001301919,-0.002866255,0.00199813,-0.000638092,8.05067E-06,-0.001495318,9.47093E-05,-0.00040768,-0.00015728,0.002041021,-0.000479801,-0.000522071,-0.000449948,-0.001524838,-0.002027121,-0.002272749,-0.001084987,0.000687483,-0.001105354,0.000483441,-0.001235112,0.000690703,-0.00168845,0.00039527,-0.000722198,0.000898552,0.001124436,0.000398588,7.23898E-05,0.756793698,0.070270754,0.083211639,-0.053630891,-0.003884273,-0.002015256,-0.002068223,0.014197912,-0.005322071,-0.003174044,-0.002923028,0.00114267,0.003254168,-0.001039832,0.000566131,0.001470194,-0.000403179,-0.002976841,0.00040917,0.003245238,0.003603563,-0.002175651,-0.000769325,0.003120167,-0.000372807,-0.001364995,0.001047107,-0.000563767,-0.00044872,-0.00169693,-2.51776E-05,0.001329632,0.000564548,5.79918E-05,-0.000757102,0.000653732,0.000129021,0.000109539,1.19263E-05,-0.000707519
0.140079633,1,0.002827636,0.048060093,0.01114207,0.006558116,0.020637828,0.008908385,0.017259684,0.006181978,0.008510452,0.004381826,-0.001093908,0.000745166,-0.002590796,0.000395006,-0.002118868,0.001609702,-3.15075E-05,0.002480439,0.00013577,0.002091819,-0.001345202,0.00064124,-0.001288586,-0.001236794,-3.8754E-05,-0.000898516,0.000263008,-0.000616984,0.001058256,-0.00056699,0.000867641,0.000250685,1.76268E-05,0.000193698,-0.000345515,7.97059E-05,0.000194525,-0.0002135,0.000284596,-1.53182E-16,0.046110402,-0.02931501,-0.001653243,0.020536251,5.17047E-05,0.006537726,0.011983006,0.000495395,-0.010408617,-0.005593791,-0.00095513,0.002697795,-0.007780041,-0.002160244,0.001007569,-0.001602658,0.000145892,-0.001330704,-0.00016693,0.00236576,0.00015643,0.001704529,-0.001113701,0.00147642,0.000939385,-0.00090482,0.001135305,-0.000253401,8.10584E-05,-0.000292571,-0.000508862,0.002014155,0.000518195,0.000306799,-0.000902709,0.000121961,0.001088281,-0.000926213,0.000203648,1.10515E-16,0.018606354,-0.027770038,0.005877554,-0.019874433,0.007076293,-0.006944739,0.009118562,-0.001589952,0.009675259,-0.000844055,0.003107702,-0.001560164,-0.000816277,-0.002216142,-0.002315517,-0.003033197,-0.001313161,-0.002685844,-0.000216919,-0.001118697,-9.46122E-05,0.000118252,-0.000282472,0.000346469,-0.000580014,-0.000597474,7.82543E-05,-0.000557873,-0.000431243,-0.001086778,0.000202366,-0.000242806,6.02695E-06,0.000418754,-0.000287799,0.001095401,-0.000960927,3.44828E-05,-0.000389407,0.640373592,-0.015069118,0.033572951,-0.019820401,0.002220112,-0.011790049,-0.002060298,0.010834835,-0.000413235,0.009285277,0.0021013,0.005391806,0.002673904,0.002050299,0.001467301,-9.82385E-05,-0.003125944,-0.00066573,0.001298995,0.001671961,-0.001561061,0.001046139,0.002447171,-0.000936306,-0.000474614,2.03971E-05,-0.000672275,0.000493338,0.001216217,-0.000970343,-0.000765328,9.27647E-05,-0.000553364,0.000141209,-0.00015773,-0.000363962,0.000321147,-0.000485204,-0.000464905,0.000423676
